24914 -- Apr 30 01:24:27 localhost CEF:0|Linux|iptables|ver|0|Dropped packet - UDP|0|deviceInboundInterface=enp0s3 dmac=ff:ff:ff:ff:ff:ff smac=50:7b:9d:d3:9e:f6 src=192.168.100.100 dst=192.168.100.255 proto=UDP spt=57621 dpt=57621 rawEvent=Apr 30 01:24:27 localhost kernel: IN=enp0s3 OUT= MAC=ff:ff:ff:ff:ff:ff:50:7b:9d:d3:9e:f6:08:00 SRC=192.168.100.100 DST=192.168.100.255 LEN=72 TOS=0x00 PREC=0x00 TTL=128 ID=14097 PROTO=UDP SPT=57621 DPT=57621 LEN=52 

24915 -- May  1 18:22:07 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus userRights=root cmnd=/sbin/service rawEvent=May  1 18:22:07 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus ; USER=root ; COMMAND=/sbin/service secmon-middleware status

24916 -- May  1 18:22:18 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus userRights=root cmnd=/sbin/service rawEvent=May  1 18:22:18 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus ; USER=root ; COMMAND=/sbin/service secmon-normalizer status

24917 -- May  1 18:24:08 localhost CEF:0|Security|sshd|0|133|Sucess login|0|src=192.168.100.100 dpt=50772 outcome=success app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3452 reason=password rawEvent=May  1 18:24:08 localhost sshd[3452]: Accepted password for secmon from 192.168.100.100 port 50772 ssh2

24918 -- May  1 18:24:24 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50775 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3573 reason=password rawEvent=May  1 18:24:24 localhost sshd[3573]: Failed password for secmon from 192.168.100.100 port 50775 ssh2

24919 -- May  1 18:24:27 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50775 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3573 reason=password rawEvent=May  1 18:24:27 localhost sshd[3573]: Failed password for secmon from 192.168.100.100 port 50775 ssh2

24920 -- May  1 18:24:29 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50775 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3573 reason=password rawEvent=May  1 18:24:29 localhost sshd[3573]: Failed password for secmon from 192.168.100.100 port 50775 ssh2

24921 -- May  1 18:24:33 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50777 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3593 reason=password rawEvent=May  1 18:24:33 localhost sshd[3593]: Failed password for secmon from 192.168.100.100 port 50777 ssh2

24922 -- May  1 18:24:36 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50777 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3593 reason=password rawEvent=May  1 18:24:36 localhost sshd[3593]: Failed password for secmon from 192.168.100.100 port 50777 ssh2

